Time,lowAlpha,highAlpha,lowBeta,highBeta
130.327900887,1761,1820,7011,6383
131.332033873,7870,21075,8389,24677
132.314598083,2851,2956,2779,6237
133.321009874,4671,3021,2016,17701
134.319268942,7656,6802,12378,3966
135.304616928,554,3257,2784,1125
136.30962491,18347,11392,26640,25352
137.317065001,5836,12023,7006,7518
138.295845032,1811,6137,1708,2013
139.300725937,1817,571,2484,2798
140.30704093,3202,6510,14221,5558
141.287070036,3051,2613,5099,6272
142.291759968,972,2027,3353,9872
143.293329,12707,11547,7449,6537
144.280842066,964,3635,2970,3838
145.274609089,5694,5012,13352,10428
146.259689093,3213,27665,6828,22355
147.263398886,7167,5202,2536,6610
148.269206047,13892,58145,23065,15627
149.245985985,4136,9750,9495,5158
150.255567074,32834,38554,11331,18862
151.257190943,4034,4691,9484,16965
152.239684105,5371,979,2366,2182
153.245599985,23677,4474,24757,11893
154.244340897,3849,1250,4264,3229
155.234423876,1878,2672,3983,5560
156.237240076,6450,3530,4110,5497
157.237081051,18237,27620,15318,27297
158.217320919,5019,3809,1050,1849
159.225529909,9357,3381,3072,6325
160.225636959,834,550,2338,6235
161.20697999,1971,1210,5319,5465
162.209465027,6695,14904,9710,8363
163.218396902,3742,2090,3462,7385
164.195691109,24348,31914,54908,43504
165.203059912,2753,3609,4994,3769
166.206942081,2120,6369,3785,5453
167.190608978,5204,6569,4430,5225
168.194582939,1845,1482,1927,1851
169.197309971,1751,1966,6618,9574
170.175643921,97717,23041,25792,27368
171.159859896,4408,4616,3299,7452
172.188150883,3724,3120,730,733
173.168237925,3503,4845,3828,1284
174.148586035,7885,6899,15257,5561
175.174567938,18842,27159,8627,11175
176.163671017,35818,30095,31660,6746
177.138460875,8430,17678,21929,35521
178.166774988,618,852,2824,6694
179.148514986,3576,2673,6839,1470
180.134505033,1325,1838,1530,1168
181.1535151,4946,1558,2879,1952
182.139643908,22131,12847,11039,30625
183.12607789,88814,36303,13517,30414
184.140578985,4376,2949,3931,4765
185.128130913,3413,583,3297,937
186.108390093,11123,4985,2682,8995
